id,category,title,prompt,type,image,description,tags,contributor
11,"Tạo cảnh nhân vật & tư thế
","Điều khiển vẽ tay tư thế nhân vật
","Hãy tạo một hình ảnh với nhân vật đang chiến đấu, sử dụng tư thế được mô tả trong hình.  
- Giữ đúng dáng, góc và tương tác cơ thể theo tư thế tham chiếu.  
- Thêm phông nền phù hợp (ví dụ: đấu trường, đường phố, bối cảnh giả tưởng) để làm cho cảnh trở nên sinh động.  
- Kết hợp các yếu tố tương tác trong cảnh (ví dụ: bụi bay, ánh sáng va chạm, hiệu ứng động tác) để tăng cảm giác hành động.  
- Đảm bảo bố cục tổng thể rõ ràng, hai nhân vật nổi bật, không gian có chiều sâu.  
- Tỉ lệ ảnh đầu ra: 16:9.  
","text-to-image",/images/prompt001-020/prompt011.png,"Prompt này tạo cảnh chiến đấu của nhiều nhân vật dựa trên tư thế tham chiếu, có nền cảnh sinh động, hiệu ứng tương tác và bố cục ngang 16:9.
","nhân vật, tư thế, chiến đấu, vẽ tay, phông nền, hiệu ứng, hành động, 16:9
",LockMan04
12,"Chỉnh sửa ảnh tự động
","Tăng cường màu sắc & ánh sáng
","Bức ảnh này quá đơn điệu và nhạt nhòa. Hãy chỉnh sửa để nó trở nên sống động và hấp dẫn hơn:  
- Tăng độ tương phản để làm nổi bật chi tiết.  
- Tăng cường độ bão hòa màu sắc để hình ảnh giàu màu hơn.  
- Điều chỉnh ánh sáng để làm bức ảnh sáng rõ và cân bằng hơn.  
- Cắt xén hoặc loại bỏ những chi tiết gây rối, làm hỏng bố cục.  
- Giữ cho hình ảnh cuối cùng có cảm giác tự nhiên, giàu sức sống và đẹp mắt.  
","text-to-image",/images/prompt001-020/prompt012.png,"Prompt này giúp cải thiện ảnh tự động: tăng tương phản, chỉnh màu, tối ưu ánh sáng, cắt bỏ chi tiết thừa để tạo hình ảnh sống động và giàu sức hút hơn.
","chỉnh sửa ảnh, tăng tương phản, tăng màu sắc, ánh sáng, cải thiện bố cục, làm đẹp ảnh",LockMan04
13,Tạo mô hình 3D,"Trích xuất tòa nhà & tạo ảnh isometric
","Hãy tạo hình ảnh của một tòa nhà ở chế độ ban ngày, với góc nhìn isometric.  
- Chỉ hiển thị phần tòa nhà, không bao gồm người, xe cộ hay cảnh vật phụ xung quanh.  
- Giữ chi tiết kiến trúc rõ ràng, cân đối và đẹp mắt.  
- Đảm bảo ánh sáng ban ngày tự nhiên, màu sắc hài hòa.  
- Kết xuất hình ảnh với cảm giác mô hình 3D đẳng cấp, mang tính trình bày và minh họa chuyên nghiệp.  
","text-to-image",/images/prompt001-020/prompt013.png,"Prompt này giúp trích xuất tòa nhà từ cảnh gốc và tạo hình ảnh isometric vào ban ngày, tập trung vào chi tiết kiến trúc, phù hợp cho minh họa hoặc mô hình 3D.
","tòa nhà, 3D, isometric, ban ngày, kiến trúc, mô hình, minh họa
",LockMan04
14,"Chuyển đổi góc nhìn
","Vẽ cảnh từ hướng mũi tên đỏ
","Hãy vẽ lại cảnh thực tế được nhìn thấy từ vị trí vòng tròn đỏ, theo hướng của mũi tên.  
- Xác định vị trí vòng tròn đỏ như điểm quan sát (camera view).  
- Vẽ lại toàn cảnh phía trước theo đúng góc mũi tên chỉ.  
- Giữ tỷ lệ, phối cảnh và các đối tượng thực tế trong vùng nhìn.  
- Ưu tiên độ rõ nét, ánh sáng và chi tiết để giống như tầm nhìn thật ngoài đời.  
",text-to-image,/images/prompt001-020/prompt014.png,"Prompt này tái tạo khung cảnh thực tế từ vị trí vòng tròn đỏ, theo hướng mũi tên chỉ, giống như góc nhìn camera trong thế giới thật.","góc nhìn, phối cảnh, mũi tên, vòng tròn đỏ, cảnh thực tế, tầm nhìn
",LockMan04
15,"Chỉnh sửa & tạo ảnh","Biến đổi nhân vật thành sticker","
Hãy biến đổi nhân vật này thành một sticker có viền trắng 
- Phong cách minh họa web (web illustration style), trẻ trung và vui nhộn. 
- Giữ đường nét rõ ràng, màu sắc sáng, đơn giản hóa chi tiết để dễ nhìn. 
- Bố cục tổng thể cân đối, dễ sử dụng cho sticker hoặc đồ họa web.","text-to-image","/images/prompt001-020/prompt015.png","Prompt này giúp biến đổi nhân vật thành sticker phong cách minh họa web, trẻ trung, vui nhộn, với đường nét rõ ràng, màu sắc sáng và chi tiết đơn giản hóa.","sticker, minh họa web, trẻ trung, vui nhộn, đường nét rõ ràng, màu sắc sáng, đồ họa web","LockMan04"
16,"Chỉnh sửa & tạo ảnh","9 avatar lưới 3x3 - thay đổi kiểu tóc","Tạo 9 ảnh đại diện (avatar) sắp xếp trong bố cục lưới 3x3. Mỗi avatar giữ nguyên khuôn mặt và phong cách nhất quán, nhưng thay đổi kiểu tóc khác nhau theo thứ tự: ngắn, dài, xoăn, thẳng, buộc đuôi ngựa, búi, tết, gợn sóng, dựng đứng. Đảm bảo bố cục lưới cân đối, nền đơn giản, ánh sáng và màu sắc hài hòa, các biểu cảm nhẹ nhàng đồng bộ và hình ảnh phù hợp để sử dụng làm avatar hoặc avatar mạng xã hội.","text-to-image","/images/prompt001-020/prompt016.png","Prompt này tạo một lưới 3x3 gồm 9 avatar cùng khuôn mặt nhưng biến thể kiểu tóc khác nhau, phù hợp cho avatar mạng xã hội hoặc ứng dụng, bố cục cân đối và thị giác hài hòa.","avatar, lưới 3x3, tóc ngắn, tóc dài, tóc xoăn, tóc thẳng, đuôi ngựa, búi tóc, tóc tết, tóc gợn sóng, tóc dựng đứng, avatar mạng xã hội, portrait","LockMan04"
17,"Tạo video ASMR","Video ASMR cắt thủy tinh","Video ASMR siêu thực 8K quay cảnh bàn tay người cắt một tác phẩm điêu khắc thủy tinh hình [vật thể] đặt trên thớt gỗ. Tác phẩm thủy tinh được chế tác như pha lê thổi. Dưới ánh sáng điện ảnh, nó lấp lánh như hổ phách được mài nhẵn. Máy quay đặt ở góc cận cảnh cực độ (extreme close-up) với độ sâu trường ảnh nông, tập trung vào bàn tay và chất liệu thủy tinh bóng loáng. Con dao di chuyển mượt mà, chậm rãi, thực hiện ba lát cắt sạch sẽ, rõ ràng với âm thanh tinh khiết – giống như đang cắt pha lê mịn. Mỗi lát cắt tách ra nhẹ nhàng, lấp lánh như thủy tinh vàng được chạm khắc. Không có yếu tố gây xao nhãng ở hậu cảnh. Góc quay ASMR từ trên xuống (top-down) đặc trưng được sử dụng, giống phong cách các video chuyên nghiệp về cắt thực phẩm. Bầu không khí yên tĩnh và dễ chịu, nhấn mạnh vào cảm giác xúc giác và âm thanh của thủy tinh khi bị cắt.","text-to-video","/images/prompt001-020/prompt017.png","Prompt này tạo video ASMR siêu thực 8K về cảnh cắt tác phẩm thủy tinh, với góc cận cảnh, âm thanh tinh khiết và bầu không khí yên tĩnh, nhấn mạnh cảm giác xúc giác và thị giác.","ASMR, video siêu thực, 8K, cắt thủy tinh, pha lê thổi, cận cảnh, top-down, âm thanh tinh khiết, xúc giác","LockMan04"
18,"Tạo cảnh siêu thực","Tượng khổng lồ đang xây dựng","Trong bức ảnh, có một đối tượng khổng lồ đang được xây dựng ở giữa thành phố. Đối tượng mặc trang phục hiện đại, phần thân trên đã được hoàn thiện, trong khi phần thân dưới vẫn đang bao quanh bởi hệ thống giàn giáo thép phức tạp. Trên giàn giáo có rất nhiều công nhân đang làm việc, tạo cảm giác như một công trình kiến trúc quy mô lớn. Bối cảnh xung quanh là một vòng xoay lớn giữa trung tâm thành phố, có các con đường tấp nập xe cộ, xe buýt, ô tô và cả máy móc thi công. Phối cảnh tổng thể cho thấy sự tương phản giữa đối tượng khổng lồ và không gian đô thị hiện đại, khiến công trình trở nên vừa hoành tráng vừa siêu thực.","text-to-image","/images/prompt001-020/prompt018.png","Prompt này tạo cảnh siêu thực về một tượng khổng lồ đang được xây dựng giữa thành phố, với giàn giáo, công nhân, và bối cảnh đô thị hiện đại tấp nập, tạo sự tương phản hoành tráng và kỳ ảo.","tượng khổng lồ, xây dựng, giàn giáo, công nhân, thành phố, vòng xoay, siêu thực, đô thị, hoành tráng, phối cảnh","LockMan04"
19,"Tạo video ASMR","Máy ép thủy lực ép laptop","Video macro ASMR cảnh một máy ép thủy lực từ từ và đều đặn hạ xuống trong một chuyển động liên tục để ép bẹp [món đồ]. Tấm thép dày di chuyển mượt mà, không dừng lại, nén chặt nó với lực căng ngày càng tăng. Khi quá trình ép tiếp diễn, nó bắt đầu biến dạng, phát ra âm thanh nứt vỡ, rạn gãy hoặc nghiền nát chi tiết rõ ràng. Toàn bộ quá trình diễn ra trong một lần ép duy nhất, không đảo ngược hay tạm dừng. Bối cảnh là một không gian công nghiệp sạch sẽ, ánh sáng dịu, không có con người xuất hiện. Máy quay tập trung hoàn toàn vào chuyển động ép chậm rãi và âm thanh ASMR chi tiết. Hình ảnh mang phong cách điện ảnh, độ phân giải 4K, độ sâu trường ảnh nông.","text-to-video","/images/prompt001-020/prompt019.png","Prompt này tạo video macro ASMR cảnh máy ép thủy lực ép bẹp laptop, tập trung vào chuyển động chậm rãi, âm thanh nứt vỡ chi tiết, không gian công nghiệp sạch, ánh sáng dịu, phong cách điện ảnh 4K.","ASMR, macro, máy ép thủy lực, ép laptop, nứt vỡ, công nghiệp, 4K, cinematic, slow motion, không người","LockMan04"
20,"Chân dung nghệ thuật","Chân dung studio ánh sáng softbox","Biến bức ảnh này thành một tác phẩm chân dung nghệ thuật trong studio, với ánh sáng softbox dịu, nền trơn màu tối giản. Tập trung làm nổi bật đường nét khuôn mặt và cảm xúc của đối tượng. Phong cách hiện đại, sắc nét, ánh sáng studio chuyên nghiệp.","text-to-image","/images/prompt001-020/prompt020.png","Prompt này tạo chân dung nghệ thuật studio với ánh sáng softbox dịu, nền tối giản, nhấn mạnh đường nét khuôn mặt và cảm xúc, phong cách hiện đại, sắc nét.","chân dung, studio, softbox, nghệ thuật, hiện đại, sắc nét, ánh sáng chuyên nghiệp, nền tối giản","LockMan04"
21,"Chân dung thời trang","Studio tạp chí high-fashion","Chuyển đổi bức ảnh thành ảnh chụp studio phong cách tạp chí thời trang. Đối tượng được đặt trong nền trắng tinh khiết, ánh sáng mạnh từ nhiều hướng, tạo bóng đổ sắc nét. Tông màu trung tính, nhấn mạnh vào trang phục và thần thái như buổi chụp quảng cáo high-fashion.","text-to-image","/images/prompt021-040/prompt021.png","Prompt này tạo ảnh studio phong cách tạp chí thời trang với nền trắng, ánh sáng mạnh đa hướng, bóng đổ sắc nét, tông màu trung tính, nhấn mạnh trang phục và thần thái high-fashion.","studio, tạp chí, high-fashion, nền trắng, ánh sáng mạnh, bóng đổ, thời trang, thần thái, quảng cáo","LockMan04"
